time,open,high,low,close,spread
2023-01-19 20:00:00,1.08154,1.08342,1.08121,1.08279,20
2023-01-19 21:00:00,1.08275,1.08352,1.08202,1.08296,19
2023-01-19 22:00:00,1.08296,1.08391,1.0827,1.08282,20
2023-01-19 23:00:00,1.0828,1.08339,1.08271,1.08305,15
2023-01-20 00:00:00,1.08285,1.08333,1.08274,1.08289,25
2023-01-20 01:00:00,1.08288,1.08366,1.08278,1.08323,15
2023-01-20 02:00:00,1.08323,1.08395,1.08278,1.08302,15
2023-01-20 03:00:00,1.08305,1.08426,1.08271,1.08353,15
2023-01-20 04:00:00,1.08354,1.0843099999999999,1.08305,1.08356,15
2023-01-20 05:00:00,1.08356,1.08375,1.08315,1.08334,15
2023-01-20 06:00:00,1.08334,1.08341,1.08271,1.08288,15
2023-01-20 07:00:00,1.08287,1.08346,1.08242,1.08343,15
2023-01-20 08:00:00,1.08344,1.08358,1.08228,1.08234,15
2023-01-20 09:00:00,1.08237,1.08456,1.08197,1.0839,20
2023-01-20 10:00:00,1.08393,1.08581,1.08374,1.08397,20
2023-01-20 11:00:00,1.08393,1.08509,1.08272,1.083,20
2023-01-20 12:00:00,1.08301,1.08464,1.08251,1.08378,20
2023-01-20 13:00:00,1.08377,1.08408,1.08236,1.08241,19
2023-01-20 14:00:00,1.08242,1.08267,1.08131,1.08175,20
2023-01-20 15:00:00,1.08175,1.08267,1.08014,1.08055,20
2023-01-20 16:00:00,1.08055,1.08252,1.08036,1.08205,20
2023-01-20 17:00:00,1.08205,1.08468,1.08173,1.083,20
2023-01-20 18:00:00,1.083,1.08441,1.08263,1.08296,20
2023-01-20 19:00:00,1.08295,1.08464,1.08285,1.08428,19
2023-01-20 20:00:00,1.08427,1.08494,1.08328,1.08465,20
2023-01-20 21:00:00,1.08466,1.08576,1.08447,1.0853,19
2023-01-20 22:00:00,1.0853,1.08574,1.08512,1.08555,20
2023-01-20 23:00:00,1.08557,1.08571,1.08537,1.08548,15
2023-01-23 00:00:00,1.08647,1.0866,1.08595,1.08655,15
2023-01-23 01:00:00,1.0865,1.08684,1.08605,1.08631,15
2023-01-23 02:00:00,1.08633,1.08863,1.08631,1.0884,15
2023-01-23 03:00:00,1.08839,1.08987,1.08797,1.0894,15
2023-01-23 04:00:00,1.0894,1.08981,1.08888,1.08916,15
2023-01-23 05:00:00,1.08917,1.09021,1.08917,1.08976,15
2023-01-23 06:00:00,1.08977,1.08978,1.0888,1.08939,15
2023-01-23 07:00:00,1.08938,1.08975,1.08891,1.08912,15
2023-01-23 08:00:00,1.08912,1.09116,1.08864,1.08997,15
2023-01-23 09:00:00,1.08997,1.09257,1.08913,1.09134,20
2023-01-23 10:00:00,1.09132,1.09147,1.08924,1.08989,20
2023-01-23 11:00:00,1.08989,1.09194,1.08922,1.09108,20
2023-01-23 12:00:00,1.09108,1.09143,1.08946,1.08982,20
2023-01-23 13:00:00,1.08982,1.09015,1.0878,1.08805,20
2023-01-23 14:00:00,1.08805,1.0882,1.08659,1.08701,20
2023-01-23 15:00:00,1.08704,1.08769,1.0852,1.08579,20
2023-01-23 16:00:00,1.08579,1.08673,1.08454,1.08609,20
2023-01-23 17:00:00,1.0861,1.08682,1.0846,1.08635,20
2023-01-23 18:00:00,1.08635,1.0875,1.0859,1.0863,20
2023-01-23 19:00:00,1.0863,1.08641,1.08557,1.0861399999999999,19
2023-01-23 20:00:00,1.08615,1.08722,1.08613,1.08654,20
2023-01-23 21:00:00,1.08655,1.08664,1.08468,1.08581,20
2023-01-23 22:00:00,1.08581,1.0867499999999999,1.08562,1.08673,20
2023-01-23 23:00:00,1.08671,1.08711,1.08642,1.08705,15
2023-01-24 00:00:00,1.08703,1.08718,1.0867499999999999,1.08688,18
2023-01-24 01:00:00,1.08685,1.08747,1.08664,1.08702,15
2023-01-24 02:00:00,1.08702,1.08739,1.0866500000000001,1.08727,15
2023-01-24 03:00:00,1.08728,1.08817,1.08709,1.088,15
2023-01-24 04:00:00,1.08798,1.08821,1.08766,1.08782,15
2023-01-24 05:00:00,1.08776,1.08793,1.08722,1.08737,15
2023-01-24 06:00:00,1.08737,1.08756,1.08685,1.08755,15
2023-01-24 07:00:00,1.08758,1.08817,1.08746,1.08774,15
2023-01-24 08:00:00,1.08774,1.0890900000000001,1.08766,1.08869,15
2023-01-24 09:00:00,1.08869,1.0897000000000001,1.08824,1.08878,15
2023-01-24 10:00:00,1.08878,1.0895,1.08656,1.08738,19
2023-01-24 11:00:00,1.0873599999999999,1.08822,1.08509,1.08599,20
2023-01-24 12:00:00,1.08595,1.08655,1.08512,1.0863,19
2023-01-24 13:00:00,1.0863,1.08749,1.08527,1.08657,20
2023-01-24 14:00:00,1.08657,1.08754,1.08581,1.08587,17
