,time_open,type_open,magic_open,position_id,reason_open,volume_open,price_open,commission_open,swap_open,profit_open,fee_open,symbol_open,time_close,type_close,magic_close,reason_close,volume_close,price_close,commission_close,swap_close,profit_close,fee_close,symbol_close
0,12/15/2023 20:25,2,0,0,0,0,0,0,0,10000,0,,12/15/2023 20:25,2,0,0,0,0,0,0,10000,0,
1,12/15/2023 21:35,0,100,3818161067,3,0.01,1.08951,0,0,0,0,EURUSD,12/15/2023 21:35,1,0,0,0.01,1.08932,0,0,-0.19,0,EURUSD
2,12/15/2023 21:35,1,100,3818161068,3,0.02,1.08931,0,0,0,0,EURUSD,12/15/2023 21:35,0,0,0,0.02,1.08952,0,0,-0.42,0,EURUSD
3,12/15/2023 21:36,0,100,3818161079,3,0.01,1.26867,0,0,0,0,GBPUSD,12/15/2023 21:37,1,0,0,0.01,1.26848,0,0,-0.19,0,GBPUSD
4,12/15/2023 21:36,1,100,3818161080,3,0.02,1.08929,0,0,0,0,EURUSD,12/15/2023 21:37,0,0,0,0.02,1.0895,0,0,-0.42,0,EURUSD
5,12/15/2023 21:47,0,100,3818161113,3,0.01,1.26901,0,0,0,0,GBPUSD,12/15/2023 21:48,1,0,0,0.01,1.26883,0,0,-0.18,0,GBPUSD
6,12/15/2023 21:47,1,100,3818161114,3,0.02,1.08948,0,0,0,0,EURUSD,12/15/2023 21:48,0,0,0,0.02,1.0897,0,0,-0.44,0,EURUSD
7,12/15/2023 21:47,0,100,3818161115,3,0.01,1.26901,0,0,0,0,GBPUSD,12/15/2023 21:48,1,0,0,0.01,1.26883,0,0,-0.18,0,GBPUSD
8,12/15/2023 21:47,1,100,3818161116,3,0.02,1.08948,0,0,0,0,EURUSD,12/15/2023 21:48,0,0,0,0.02,1.0897,0,0,-0.44,0,EURUSD
9,12/15/2023 21:51,0,100,3818161142,3,0.01,1.26895,0,0,0,0,GBPUSD,12/15/2023 21:51,1,0,0,0.01,1.26896,0,0,0.01,0,GBPUSD
10,12/15/2023 21:51,1,100,3818161143,3,0.02,1.08948,0,0,0,0,EURUSD,12/15/2023 21:51,0,0,0,0.02,1.08981,0,0,-0.66,0,EURUSD
11,12/15/2023 21:51,0,100,3818161144,3,0.01,1.45714,0,0,0,0,EURCAD,12/15/2023 21:51,1,0,0,0.01,1.45668,0,0,-0.34,0,EURCAD
12,12/22/2023 11:39,0,100,3818211059,3,0.01,1.27035,0,0,0,0,GBPUSD,12/22/2023 11:39,1,0,0,0.01,1.27022,0,0,-0.13,0,GBPUSD
13,12/22/2023 11:39,1,100,3818211060,3,0.02,1.10106,0,0,0,0,EURUSD,12/22/2023 11:39,0,0,0,0.02,1.10126,0,0,-0.4,0,EURUSD
14,12/22/2023 11:39,0,100,3818211061,3,0.01,1.46211,0,0,0,0,EURCAD,12/22/2023 11:39,1,0,0,0.01,1.46167,0,0,-0.33,0,EURCAD
15,12/22/2023 11:47,0,100,3818211131,3,0.01,1.26972,0,0,0,0,GBPUSD,12/22/2023 11:47,1,0,0,0.01,1.2696,0,0,-0.12,0,GBPUSD
16,12/22/2023 11:47,1,100,3818211132,3,0.02,1.10087,0,0,0,0,EURUSD,12/22/2023 11:47,0,0,0,0.02,1.10107,0,0,-0.4,0,EURUSD
17,12/22/2023 11:47,0,100,3818211133,3,0.01,1.46165,0,0,0,0,EURCAD,12/22/2023 11:47,1,0,0,0.01,1.46113,0,0,-0.39,0,EURCAD
18,12/22/2023 12:01,0,100,3818211287,3,0.01,0.85573,0,0,0,0,USDCHF,12/22/2023 12:03,1,0,0,0.01,0.85551,0,0,-0.26,0,USDCHF
